,street,project,marketSegment,propertyType,enBlock,tenure,annual_appreciation,noOfTransactions,initialYear,leaseCommencement,leaseRemaining
3068,SERANGOON NORTH AVENUE 1,SERANGOON VILLE,OCR,Apartment,True,Leasehold,1.217898397942772,724,2016,1986.0,70.0
738,SIMS AVENUE,EUNOSVILLE,RCR,Apartment,True,Leasehold,0.8817193094882273,1446,2016,1986.0,72.0
790,FLORENCE ROAD,FLORENCE GARDENS,OCR,Semi-detached,False,Freehold,0.5999362786745964,474,2020,1934.0,861.0
263,BROOKVALE WALK,BROOKVALE PARK,OCR,Condominium,True,Freehold,0.5536053650077575,490,2017,1885.0,867.0
1129,JALAN KECHUBONG,KECHUBONG TERRACE,OCR,Terrace,False,Freehold,0.5338284871470715,468,2018,1879.0,860.0
2686,PEARL BANK,PEARL BANK APARTMENT,RCR,Apartment,True,Leasehold,0.47197056517176467,2874,2016,1979.0,52.0
393,DUNEARN ROAD,CHANCERY COURT,CCR,Condominium,True,Leasehold,0.44108148607367226,1208,2017,1981.0,63.0
1831,LORONG 4 REALTY PARK,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.4307079910766378,698,2017,1876.0,858.0
1759,KERONG WALK,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,0.40832851881273946,466,2017,2008.0,90.0
2653,JALAN LEMPENG,PARK WEST,OCR,Condominium,True,Leasehold,0.3931035117740132,5053,2016,1982.0,65.0
1126,ARTHUR ROAD,KATONG PARK TOWERS,RCR,Condominium,True,Leasehold,0.34598719666130084,1934,2016,1982.0,65.0
1183,LORONG KISMIS,KISMIS VIEW,RCR,Condominium,True,Leasehold,0.3332169964310887,1208,2016,1983.0,66.0
2833,HORNE ROAD,RESIDENTIAL APARTMENTS,RCR,Apartment,False,Freehold,0.29819111537232335,488,2017,1958.0,999940.0
1020,EASTWOOD PLACE,HOMES AT EASTWOOD PLACE,OCR,Terrace,False,Leasehold,0.29094160741219544,466,2018,1995.0,76.0
545,JALAN KENARAH,D' KENARIS,OCR,Semi-detached,False,Freehold,0.273038321891202,981,2016,1879.0,862.0
2207,CHIN SWEE ROAD,LANDMARK TOWER,RCR,Apartment,True,Leasehold,0.27111401068218527,1915,2016,1980.0,63.0
2809,BINJAI PARK,RESIDENTIAL APARTMENTS,RCR,Apartment,False,Freehold,0.269961599576271,1198,2017,1875.0,857.0
851,GERALD CRESCENT,GERALD GARDENS,OCR,Terrace,False,Freehold,0.25641497780478784,1177,2016,1879.0,862.0
505,CORONATION DRIVE,CORONATION VILLE,CCR,Semi-detached,False,Freehold,0.25011149978137315,714,2019,1875.0,855.0
